$$	money
yrusm	Why are you so mean
ys	you suck
ysal	you suck at life
ysati	you suck at the internet
ysic	why should I care
ysitm	your shirt is too small
ysm	you scare me
yswnt	why sleep when not tired?
yt	You there?
ytd	year to date
ytis	You think I'm special?
ytm	you tell me
ytmnd	You're the man now
yty	why thank you
yu	You
yuo	you
yup	yes
yur	your
yust	why you say that
ywapom	you want a piece of me?
ywic	why would i care
ywsyls	you win some you lose some
ywud	yo whats up dude
ywywm	you wish you were me
yysw	yeah
z'omg	Oh my God
z0mg	oh my god
zh	Zero Hour
zig	cigarette
zomg	Oh my God
zomgzorrz	oh my god
zoot	woohoo
zot	Zero Tolerance
zt	zoo tycoon
zup	what's up?
^	up
^^&>	up up and away
